time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
20.7,48.9883,-28.3587,23.3213,5.46136,5.46136,61.9847,0.0311268
20.8,35.4354,-27.4818,25.1926,10.3942,10.3942,60.3029,0.0311268
20.9,22.3489,-23.9943,24.1045,13.8218,13.8218,58.3747,0.0311268
21,11.0332,-17.8095,19.7007,15.2915,15.2915,56.3467,0.0311268
21.1,2.7152,-9.30065,12.1219,14.4991,14.4991,54.3879,0.0311268
21.2,-1.71401,0.197488,2.60401,11.5253,11.5253,52.6477,0.0311268
21.3,-1.84614,9.1391,-7.25151,6.83111,6.83111,51.236,0.0311268
21.4,2.24674,16.5723,-16.3419,1.03785,1.03785,50.2269,0.0311268
21.5,10.0495,22.188,-24.1764,-5.26571,-5.26571,49.667,0.0311268
21.6,20.7176,26.0375,-30.6297,-11.6067,-11.6067,49.5764,0.0311268
21.7,33.2991,28.0917,-35.4931,-17.5783,-17.5783,49.9441,0.0311268
21.8,46.8502,28.1984,-38.4196,-22.7886,-22.7886,50.7255,0.0311268
21.9,60.4022,26.1769,-39.0158,-26.8454,-26.8454,51.8415,0.0311268
22,72.9301,21.9468,-36.9804,-29.3792,-29.3792,53.1811,0.0311268
22.1,83.3743,15.6017,-32.1954,-30.0832,-30.0832,54.6065,0.0311268
22.2,90.7252,7.42007,-24.7558,-28.7514,-28.7514,55.9617,0.0311268
22.3,94.1088,-2.14199,-14.9796,-25.3084,-25.3084,57.0825,0.0311268
22.4,92.8722,-12.4763,-3.39765,-19.8307,-19.8307,57.8081,0.0311268
22.5,86.6592,-22.8473,9.25805,-12.5585,-12.5585,57.995,0.0311267
22.6,75.4609,-32.4764,22.1349,-3.88518,-3.88518,57.5278,0.0311267
22.7,59.6608,-40.516,34.226,5.64262,5.64262,56.333,0.0311267
22.8,40.0856,-45.9948,44.3043,15.308,15.308,54.3956,0.0311267
22.9,18.42,-46.3521,49.2968,23.8052,23.8052,51.8331,0.0311267
23,0.283593,-27.1535,32.8136,26.0573,26.0573,49.3833,0.0311267
23.1,-10.06,1.32655,4.20087,20.5932,20.5932,47.5743,0.0311267
23.2,-12.4308,19.7213,-16.166,11.4034,11.4034,46.3204,0.0311267
23.3,-7.66978,25.5659,-24.5672,2.41075,2.41075,45.4356,0.0311267
23.4,2.29804,19.6089,-20.5711,-3.3347,-3.3347,44.7033,0.0311267
23.5,11.4509,7.44332,-9.14984,-4.78849,-4.78849,43.8999,0.0311267
23.6,15.038,-5.83556,4.7126,-2.41322,-2.41322,42.8199,0.0311267
23.7,12.4651,-18.0393,18.7202,2.87014,2.87014,41.3136,0.0311267
23.8,4.9448,-24.6502,27.7962,9.10166,9.10166,39.4142,0.0311267
23.9,-2.55334,-13.0305,17.4795,11.1961,11.1961,37.7023,0.0311267
24,-4.91559,11.9985,-8.74936,6.20975,6.20975,36.7492,0.0311267
24.1,0.0973175,34.1697,-34.3375,-3.92706,-3.92706,36.672,0.0311267
24.2,13.333,47.2713,-52.1662,-15.9869,-15.9869,37.4169,0.0311267
24.3,33.9303,49.3507,-59.1807,-26.7853,-26.7853,38.8445,0.0311267
24.4,57.0875,43.1148,-57.2563,-34.403,-34.403,40.7544,0.0311267
24.5,77.6382,32.1981,-49.5593,-38.1921,-38.1921,42.9047,0.0311267
24.6,93.0282,18.1888,-37.3689,-37.9863,-37.9863,45.031,0.0311267
24.7,101.709,2.30003,-21.7102,-33.9173,-33.9173,46.8668,0.0311267
24.8,102.78,-14.1455,-3.85015,-26.4005,-26.4005,48.1669,0.0311267
24.9,96.0152,-29.636,14.604,-16.1494,-16.1494,48.7338,0.0311267
25,82.0294,-42.122,31.3022,-4.28649,-4.28649,48.459,0.0311267
25.1,62.7994,-47.7323,41.6858,7.20657,7.20657,47.4197,0.0311267
25.2,43.1298,-37.4687,35.169,14.1972,14.1972,46.1199,0.0311267
25.3,29.7362,-8.06994,6.57722,12.2922,12.2922,45.3587,0.0311267
25.4,26.3834,23.2318,-27.0477,2.45721,2.45721,45.4912,0.0311267
25.5,34.0168,44.0576,-52.2792,-11.2269,-11.2269,46.5054,0.0311267
25.6,51.4377,50.7335,-64.0285,-24.4273,-24.4273,48.2381,0.0311267
25.7,74.2046,45.2914,-63.1156,-34.0994,-34.0994,50.4561,0.0311267
25.8,95.6296,33.1616,-54.3019,-39.15,-39.15,52.8944,0.0311267
25.9,111.648,18.0576,-41.0037,-39.6134,-39.6134,55.2853,0.0311267
26,120.576,2.1391,-25.2991,-36.0349,-36.0349,57.3842,0.0311267
26.1,121.966,-12.8436,-9.032,-29.2841,-29.2841,58.9946,0.0311267
26.2,116.294,-25.1567,5.79674,-20.5139,-20.5139,59.9951,0.0311267
26.3,104.937,-32.9301,16.8632,-11.1697,-11.1697,60.369,0.0311267
26.4,90.1948,-34.2029,21.5562,-2.98819,-2.98819,60.2328,0.0311267
26.5,75.1543,-27.6419,17.7594,2.19872,2.19872,59.8368,0.0311267
26.6,62.9788,-14.734,6.32494,3.23027,3.23027,59.476,0.0311267
26.7,55.7847,-0.617752,-7.72954,0.490319,0.490319,59.3419,0.0311267
26.8,54.022,9.17178,-18.4362,-4.24132,-4.24132,59.4618,0.0311267
26.9,56.4513,11.687,-22.1202,-8.71104,-8.71104,59.7318,0.0311267
27,60.4522,7.06492,-18.2046,-11.0844,-11.0844,59.9742,0.0311267
27.1,62.8256,-2.71388,-8.1544,-10.3519,-10.3519,59.9785,0.0311267
27.2,60.9468,-15.1736,5.82264,-6.30828,-6.30828,59.5363,0.0311267
27.3,53.3215,-28.2542,21.7287,0.700962,0.700962,58.4634,0.0311267
27.4,39.5293,-40.3521,37.8618,9.99117,9.99117,56.618,0.0311267
27.5,19.9728,-50.2381,52.7716,20.6863,20.6863,53.9136,0.0311267
27.6,1.66493,-33.0929,38.9357,25.2486,25.2486,51.2572,0.0311267
27.7,-7.58497,7.10875,-1.97682,18.4423,18.4423,49.6469,0.0311267
27.8,-6.92123,35.3073,-33.7061,5.40518,5.40518,48.9851,0.0311267
27.9,3.92873,49.4983,-52.8469,-9.15785,-9.15785,49.1234,0.0311267
28,24.6285,48.6049,-56.814,-21.0719,-21.0719,49.8739,0.0311267
28.1,48.2802,38.5504,-50.6146,-28.4576,-28.4576,51.0242,0.0311267
28.2,67.1138,26.5783,-41.3003,-31.6683,-31.6683,52.3523,0.0311267
28.3,80.1976,13.6072,-29.6899,-31.1737,-31.1737,53.6426,0.0311267
28.4,87.0363,0.58448,-16.7256,-27.5617,-27.5617,54.7002,0.0311267
28.5,87.6024,-11.5388,-3.44843,-21.5333,-21.5333,55.3652,0.0311267
28.6,82.3373,-21.832,9.02796,-13.893,-13.893,55.5252,0.0311267
28.7,72.1353,-29.4532,19.5944,-5.52116,-5.52116,55.1254,0.0311267
28.8,58.3585,-33.4379,26.923,2.58987,2.58987,54.1852,0.0311267
28.9,42.8793,-32.6543,29.4047,9.29358,9.29358,52.8169,0.0311267
29,28.096,-25.949,25.2944,13.2938,13.2938,51.2397,0.0311267
29.1,16.4557,-14.152,14.9125,13.6985,13.6985,49.7165,0.0311267
29.2,9.48068,-1.67353,2.60145,10.9242,10.9242,48.412,0.0311267
29.3,7.39255,7.0873,-6.86811,6.47613,6.47613,47.3558,0.0311267
29.4,9.30275,10.4733,-11.3014,2.03174,2.03174,46.4973,0.0311267
29.5,13.4102,9.27394,-11.0295,-1.23356,-1.23356,45.7561,0.0311267
29.6,17.5826,5.5832,-7.89705,-2.89944,-2.89944,45.0529,0.0311267
29.7,20.3711,1.37851,-3.83022,-3.13213,-3.13213,44.3276,0.0311267
29.8,21.3244,-2.07801,-0.165895,-2.39057,-2.39057,43.5469,0.0311267
29.9,20.6922,-4.07719,2.241,-1.23268,-1.23268,42.7086,0.0311267
30,19.0775,-4.46668,3.07716,-0.155219,-0.155219,41.834,0.0311267
30.1,17.1632,-3.56885,2.53621,0.517639,0.517639,40.955,0.0311267
30.2,15.4879,-2.11504,1.29391,0.711707,0.711707,40.0965,0.0311267
30.3,14.3127,-0.942305,0.215404,0.587631,0.587631,39.2646,0.0311267
30.4,13.5749,-0.64872,-0.0133092,0.437396,0.437396,38.4447,0.0311267
30.5,12.9554,-1.4421,0.924276,0.559116,0.559116,37.6064,0.0311267
30.6,12.0261,-3.07842,2.86845,1.13645,1.13645,36.7144,0.0311267
30.7,10.4421,-4.98895,5.27786,2.1718,2.1718,35.7413,0.0311267
30.8,8.13039,-6.31883,7.23963,3.43876,3.43876,34.6852,0.0311267
30.9,5.42141,-6.04011,7.56492,4.4703,4.4703,33.5863,0.0311267
31,3.08651,-3.24768,5.09726,4.62704,4.62704,32.5359,0.0311267
31.1,2.13836,2.06855,-0.425831,3.36382,3.36382,31.6541,0.0311267
31.2,3.46862,8.63588,-7.85675,0.55868,0.55868,31.0456,0.0311267
31.3,7.5453,14.6497,-15.3355,-3.41487,-3.41487,30.7701,0.0311267
31.4,14.2678,18.726,-21.2844,-7.88225,-7.88225,30.8393,0.0311267
31.5,22.9419,20.2675,-24.8527,-12.1249,-12.1249,31.2243,0.0311267
31.6,32.4503,19.2985,-25.8135,-15.547,-15.547,31.8632,0.0311267
31.7,41.5746,16.1513,-24.2815,-17.7306,-17.7306,32.6682,0.0311267
31.8,49.2245,11.2201,-20.4723,-18.416,-18.416,33.5328,0.0311267
31.9,54.5133,4.92441,-14.669,-17.4793,-17.4793,34.3391,0.0311267
32,56.7644,-2.2995,-7.21516,-14.9133,-14.9133,34.9656,0.0311267
32.1,55.5402,-9.91229,1.38886,-10.8377,-10.8377,35.2975,0.0311267
32.2,50.6972,-17.1862,10.3814,-5.53295,-5.53295,35.2419,0.0311267
32.3,42.4696,-23.1629,18.6744,0.518886,0.518886,34.7458,0.0311267
32.4,31.7136,-26.056,24.173,6.43242,6.43242,33.8404,0.0311267
32.5,20.3566,-22.6769,23.0616,10.5897,10.5897,32.7149,0.0311267
32.6,11.4464,-10.3696,11.7914,10.8901,10.8901,31.7301,0.0311267
32.7,7.5752,6.57999,-5.81626,6.71353,6.71353,31.183,0.0311267
32.8,9.88285,20.9621,-22.2946,-0.53849,-0.53849,31.1725,0.0311267
32.9,18.1587,28.8781,-33.0984,-8.67846,-8.67846,31.6663,0.0311267
33,30.7018,29.6934,-36.883,-15.7296,-15.7296,32.5605,0.0311267
