time,measured_position,estimated_position, error, K1, K2, estimated_velocity
27.9,7.94018,8.83711,-4.48463,0.8,0.2,-5.30742
28,8.86017,8.74941,0.553802,0.8,0.2,-5.19666
28.1,12.1852,11.3941,3.95548,0.8,0.2,-4.40557
28.2,15.4516,14.552,4.49804,0.8,0.2,-3.50596
28.3,17.8274,17.1022,3.62598,0.8,0.2,-2.78076
28.4,19.0826,18.6309,2.2585,0.8,0.2,-2.32906
28.5,19.2595,19.0872,0.861542,0.8,0.2,-2.15675
28.6,18.6321,18.68,-0.239489,0.8,0.2,-2.20465
28.7,17.7423,17.8858,-0.717171,0.8,0.2,-2.34809
28.8,17.3996,17.4498,-0.251404,0.8,0.2,-2.39837
28.9,18.4123,18.1719,1.20232,0.8,0.2,-2.1579
29,21.0467,20.4286,3.0906,0.8,0.2,-1.53978
29.1,24.8919,23.9684,4.61728,0.8,0.2,-0.616326
29.2,29.2796,28.205,5.37283,0.8,0.2,0.45824
29.3,33.6066,32.5355,5.35578,0.8,0.2,1.5294
29.4,37.411,36.4664,4.72253,0.8,0.2,2.4739
29.5,40.3644,39.6343,3.65055,0.8,0.2,3.20401
29.6,42.2594,41.7985,2.30475,0.8,0.2,3.66496
29.7,43.0019,42.8345,0.836922,0.8,0.2,3.83235
29.8,42.6065,42.7288,-0.611229,0.8,0.2,3.7101
29.9,41.1923,41.5738,-1.90745,0.8,0.2,3.32861
30,38.9758,39.562,-2.93089,0.8,0.2,2.74244
30.1,36.2601,36.9754,-3.57607,0.8,0.2,2.02722
30.2,33.4155,34.168,-3.76259,0.8,0.2,1.2747
30.3,30.8393,31.5305,-3.45621,0.8,0.2,0.583462
30.4,28.8814,29.4229,-2.70745,0.8,0.2,0.041972
30.5,27.7372,28.0752,-1.68991,0.8,0.2,-0.29601
30.6,27.3631,27.4996,-0.682449,0.8,0.2,-0.4325
30.7,27.4937,27.4862,0.0373535,0.8,0.2,-0.425029
30.8,27.7545,27.6924,0.310806,0.8,0.2,-0.362868
30.9,27.7817,27.7566,0.125647,0.8,0.2,-0.337739
31,27.2867,27.3739,-0.436172,0.8,0.2,-0.424973
31.1,26.0702,26.3224,-1.26121,0.8,0.2,-0.677215
31.2,24.0136,24.4618,-2.24116,0.8,0.2,-1.12545
31.3,21.0638,21.7209,-3.28542,0.8,0.2,-1.78253
31.4,17.2224,18.0865,-4.32024,0.8,0.2,-2.64658
31.5,12.5407,13.5969,-5.28115,0.8,0.2,-3.70281
31.6,7.13971,8.35709,-6.0869,0.8,0.2,-4.92019
31.7,1.82689,3.03453,-6.03818,0.8,0.2,-6.12782
31.8,6.03828,5.31497,3.61654,0.8,0.2,-5.40452
31.9,12.8417,11.2283,8.06716,0.8,0.2,-3.79109
32,19.7979,18.0082,8.94878,0.8,0.2,-2.00133
32.1,26.5883,24.8322,8.78027,0.8,0.2,-0.245276
32.2,32.9318,31.307,8.12408,0.8,0.2,1.37954
32.3,38.5548,37.1328,7.10989,0.8,0.2,2.80152
32.4,43.2024,42.0445,5.78943,0.8,0.2,3.9594
32.5,46.6556,45.8125,4.21507,0.8,0.2,4.80242
32.6,48.7496,48.2583,2.45684,0.8,0.2,5.29379
32.7,49.3927,49.2717,0.605061,0.8,0.2,5.4148
32.8,48.5821,48.8283,-1.23105,0.8,0.2,5.16859
32.9,46.4204,47.0053,-2.92481,0.8,0.2,4.58363
33,43.1314,43.9979,-4.33226,0.8,0.2,3.71718
