time,position
89.5,44.2601
89.6,50.789
89.7,57.8
89.8,65.4055
89.9,73.1083
90,79.8629
90.1,84.5543
90.2,86.1725
90.3,83.9823
90.4,77.7492
90.5,67.5654
90.6,54.0201
90.7,38.0695
90.8,20.8243
90.9,3.68316
91,-11.9897
91.1,-24.9071
91.2,-34.0331
91.3,-39.0528
91.4,-40.644
91.5,-37.8522
91.6,-30.1439
91.7,-19.0968
91.8,-6.14988
91.9,7.17922
92,19.4196
92.1,29.1075
92.2,35.0246
92.3,36.3776
92.4,32.8251
92.5,24.8457
92.6,14.1941
92.7,4.93953
92.8,4.05123
92.9,15.2492
93,34.1733
93.1,55.2618
93.2,74.9079
93.3,90.8937
93.4,101.82
93.5,107.013
93.6,106.513
93.7,101.146
93.8,92.4813
93.9,82.7746
94,74.6979
94.1,70.4244
94.2,70.5955
94.3,73.8412
94.4,77.5527
94.5,79.1403
94.6,76.717
94.7,69.366
94.8,57.1782
94.9,41.4455
95,25.1021
95.1,13.5766
95.2,13.4057
95.3,24.6447
95.4,40.6986
95.5,55.8775
95.6,66.9528
95.7,72.1897
95.8,70.952
95.9,63.5168
96,51.1316
96.1,36.2588
96.2,23.0579
96.3,17.297
96.4,22.2384
96.5,34.376
96.6,47.8518
96.7,58.4713
96.8,63.7991
96.9,62.6809
97,54.8242
97.1,40.8017
97.2,22.0589
97.3,1.52713
97.4,-13.2719
97.5,-9.0325
97.6,9.04417
97.7,28.5158
97.8,44.374
97.9,54.4197
98,57.5113
98.1,53.2234
98.2,41.7987
98.3,24.0401
98.4,1.41874
98.5,-23.1603
98.6,-30.3072
98.7,-6.62249
98.8,18.5219
98.9,40.1635
99,56.3499
99.1,65.8221
99.2,67.8536
99.3,62.2175
99.4,49.2613
99.5,29.9854
99.6,6.47
99.7,-15.1614
99.8,-13.5895
99.9,11.8713
