time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
34.4,11.8978,10.4306,-9.22599,0.159035,0.0917043
34.5,10.2058,9.19385,-6.36299,0.159035,0.0917041
34.6,8.91069,8.34205,-3.57556,0.159035,0.0917044
34.7,8.02611,7.75949,-1.67648,0.159035,0.0917042
34.8,7.42818,7.31786,-0.693662,0.159035,0.091704
34.9,6.98017,6.90885,-0.448455,0.159035,0.0917043
35,6.56707,6.46485,-0.642714,0.159035,0.0917041
35.1,6.11716,5.98151,-0.852936,0.159035,0.0917044
35.2,5.62601,5.53502,-0.572147,0.159035,0.0917042
35.3,5.17427,5.24382,0.437284,0.159035,0.091704
35.4,4.88706,5.17716,1.82407,0.159035,0.0917043
35.5,4.83714,5.32247,3.05168,0.159035,0.0917041
35.6,5.01043,5.60864,3.76153,0.159035,0.0917044
35.7,5.33111,5.93268,3.7826,0.159035,0.0917042
35.8,5.68983,6.17902,3.07597,0.159035,0.091704
35.9,5.96437,6.23498,1.70153,0.159035,0.0917043
36,6.03594,6.00574,-0.189917,0.159035,0.0917041
36.1,5.80496,5.44284,-2.27696,0.159035,0.0917044
36.2,5.22118,4.74199,-3.01312,0.159035,0.0917042
36.3,4.49271,4.52051,0.174839,0.159035,0.091704
36.4,4.27282,4.92041,4.07202,0.159035,0.0917043
36.5,4.71007,5.90174,7.4931,0.159035,0.0917041
36.6,5.7601,7.37577,10.1592,0.159035,0.0917044
36.7,7.3273,9.2257,11.937,0.159035,0.0917042
36.8,9.2867,11.3171,12.7673,0.159035,0.091704
36.9,11.4952,13.5074,12.6527,0.159035,0.0917043
37,13.8016,15.6549,11.6535,0.159035,0.0917041
37.1,16.0559,17.6273,9.88103,0.159035,0.0917044
37.2,18.1189,19.3098,7.48866,0.159035,0.0917042
37.3,19.8701,20.6112,4.66012,0.159035,0.091704
37.4,21.2142,21.468,1.59578,0.159035,0.0917043
37.5,22.0856,21.8468,-1.50213,0.159035,0.0917041
37.6,22.4506,21.7437,-4.44479,0.159035,0.0917044
37.7,22.3068,21.1823,-7.07085,0.159035,0.0917042
37.8,21.6806,20.208,-9.25932,0.159035,0.091704
37.9,20.6214,18.8817,-10.939,0.159035,0.0917043
38,19.1947,17.2717,-12.0917,0.159035,0.0917041
38.1,17.4739,15.4477,-12.7406,0.159035,0.0917044
38.2,15.533,13.4861,-12.8708,0.159035,0.0917042
38.3,13.4534,11.5731,-11.8228,0.159035,0.091704
38.4,11.432,10.0799,-8.50174,0.159035,0.0917043
38.5,9.86082,9.09794,-4.79691,0.159035,0.0917041
38.6,8.83484,8.61246,-1.39828,0.159035,0.0917044
38.7,8.33655,8.59126,1.60157,0.159035,0.0917042
38.8,8.33003,8.99114,4.15704,0.159035,0.091704
38.9,8.76803,9.75683,6.21755,0.159035,0.0917043
39,9.59075,10.8202,7.73061,0.159035,0.0917041
39.1,10.725,12.1009,8.65181,0.159035,0.0917044
39.2,12.0851,13.509,8.95339,0.159035,0.0917042
39.3,13.5752,14.9477,8.63025,0.159035,0.091704
39.4,15.0931,16.3182,7.70327,0.159035,0.0917043
39.5,16.5342,17.5235,6.22035,0.159035,0.0917041
39.6,17.7966,18.4734,4.25558,0.159035,0.0917044
39.7,18.7855,19.0887,1.90698,0.159035,0.0917042
39.8,19.4183,19.3059,-0.707003,0.159035,0.091704
39.9,19.629,19.08,-3.45171,0.159035,0.0917043
40,19.3715,18.3886,-6.18062,0.159035,0.0917041
40.1,18.6233,17.2337,-8.73785,0.159035,0.0917044
40.2,17.3884,15.6473,-10.9474,0.159035,0.0917042
40.3,15.7016,13.7154,-12.4894,0.159035,0.091704
40.4,13.6551,11.833,-11.4573,0.159035,0.0917043
40.5,11.6676,10.5445,-7.06198,0.159035,0.0917041
40.6,10.3144,9.82201,-3.09615,0.159035,0.0917044
40.7,9.56351,9.53594,-0.173331,0.159035,0.0917042
40.8,9.27585,9.54358,1.68344,0.159035,0.091704
40.9,9.29892,9.70519,2.55459,0.159035,0.0917043
41,9.48396,9.89302,2.57215,0.159035,0.0917041
41.1,9.69538,9.99843,1.90556,0.159035,0.0917044
41.2,9.81826,9.93792,0.752405,0.159035,0.0917042
41.3,9.76466,9.65816,-0.669673,0.159035,0.091704
41.4,9.47875,9.14016,-2.12902,0.159035,0.0917043
41.5,8.94123,8.40395,-3.37839,0.159035,0.0917041
41.6,8.17403,7.51609,-4.13708,0.159035,0.0917044
41.7,7.24824,6.59569,-4.10325,0.159035,0.0917042
41.8,6.29021,5.76878,-3.2787,0.159035,0.091704
41.9,5.43323,5.07249,-2.26831,0.159035,0.0917043
42,4.71615,4.45553,-1.63872,0.159035,0.0917041
42.1,4.08415,3.83243,-1.58281,0.159035,0.0917044
42.2,3.44654,3.13009,-1.98985,0.159035,0.0917042
42.3,2.72595,2.48886,-1.49084,0.159035,0.091704
