time,predicted_position,filtered_position,position_error
56,30.5447,30.1502,-2.48037
56.1,30.7707,29.4902,-8.05149
56.2,30.0369,28.0198,-12.683
56.3,28.4502,25.9684,-15.6056
56.4,26.2556,23.6687,-16.2661
56.5,23.8068,21.4547,-14.79
56.6,21.4571,19.5295,-12.1207
56.7,19.4207,17.9119,-9.48778
56.8,17.7161,16.4809,-7.76736
56.9,16.2139,15.0518,-7.30724
57,14.7178,13.4406,-8.03091
57.1,13.033,11.5194,-9.51712
57.2,11.0246,9.26912,-11.0381
57.3,8.67301,6.84941,-11.4667
57.4,6.14812,4.62815,-9.55743
57.5,3.83925,2.97083,-5.46055
57.6,2.13182,1.98037,-0.952311
57.7,1.13266,1.5307,2.50287
57.8,0.705944,1.37688,4.21882
57.9,0.590781,1.23192,4.03147
58,0.482823,0.813128,2.07694
58.1,0.0830446,-0.126669,-1.31866
58.2,-0.868817,-1.76737,-5.65006
58.3,-2.56133,-4.17105,-10.1218
58.4,-5.05786,-6.026,-6.08758
58.5,-6.96861,-6.49541,2.97541
58.6,-7.41077,-5.77713,10.2722
58.7,-6.59825,-4.16141,15.3227
58.8,-4.84202,-1.99623,17.8942
58.9,-2.51276,0.340096,17.9386
59,-0.0119165,2.47256,15.6222
59.1,2.26379,4.06072,11.2989
59.2,3.95559,4.8464,5.60136
59.3,4.79263,4.74057,-0.327296
59.4,4.6838,4.01966,-4.17603
59.5,3.92459,3.5612,-2.28501
59.6,3.44517,4.23796,4.98496
59.7,4.16765,6.3247,13.5634
59.8,6.37877,9.71538,20.9804
59.9,9.96185,14.12,26.1464
60,14.6063,19.1567,28.6127
60.1,19.9053,24.3999,28.2614
60.2,25.4077,29.4281,25.2799
60.3,30.6677,33.8603,20.0749
60.4,35.284,37.3964,13.2827
60.5,38.942,39.8526,5.72621
60.6,41.4507,41.1964,-1.59869
60.7,42.7798,41.5687,-7.61518
60.8,43.0823,41.2788,-11.3403
60.9,42.6883,40.7317,-12.3034
61,42.0284,40.2846,-10.9646
61.1,41.4808,40.1211,-8.5498
61.2,41.2389,40.2145,-6.441
61.3,41.2732,40.3766,-5.63791
61.4,41.3836,40.3336,-6.60234
61.5,41.28,39.8008,-9.3017
61.6,40.6619,38.5579,-13.2302
61.7,39.2977,36.5245,-17.4378
61.8,37.1044,33.8604,-20.398
61.9,34.2533,31.0585,-20.0887
62,31.2671,28.8364,-15.2839
62.1,28.9049,27.7336,-7.36487
62.2,27.7346,27.8844,0.942289
62.3,27.894,29.1068,7.62628
62.4,29.1864,31.0352,11.6255
62.5,31.2213,33.2178,12.5538
62.6,33.5191,35.1824,10.4587
62.7,35.5795,36.4844,5.68948
62.8,36.9337,36.7444,-1.1902
62.9,37.1828,35.6803,-9.44812
63,36.032,33.1256,-18.2754
63.1,33.3098,29.0572,-26.7398
63.2,28.9962,23.6722,-33.4767
63.3,23.3042,18.2533,-31.7598
63.4,17.594,14.809,-17.5123
63.5,13.9891,13.2839,-4.43394
63.6,12.4234,13.2311,5.07861
63.7,12.4171,14.1507,10.9009
63.8,13.4368,15.5592,13.346
63.9,14.9676,17.0253,12.9387
64,16.5524,18.2,10.3602
64.1,17.8221,18.8397,6.39884
64.2,18.5204,18.8198,1.88223
64.3,18.5178,18.1333,-2.41762
64.4,17.8091,16.8821,-5.82912
64.5,16.5045,15.2341,-7.98789
64.6,14.7832,13.3579,-8.96265
64.7,12.8248,11.3499,-9.27404
64.8,10.7317,9.19638,-9.65423
64.9,8.48974,6.7956,-10.6526
65,5.99127,4.00319,-12.5009
65.1,3.08423,0.684765,-15.0877
65.2,-0.37264,-2.42645,-12.9141
65.3,-3.6022,-4.02337,-2.64832
65.4,-5.22341,-4.24807,6.13286
65.5,-5.39187,-3.33175,12.9539
65.6,-4.35676,-1.58032,17.4581
65.7,-2.4453,0.64358,19.4226
65.8,-0.0432202,2.94422,18.7848
65.9,2.42968,4.91792,15.6459
66,4.54686,6.18435,10.2965
66.1,5.90771,6.41408,3.18405
66.2,6.16662,5.35417,-5.10865
66.3,5.05988,2.84919,-13.9006
66.4,2.42742,0.150196,-14.3191
66.5,-0.402876,-0.353651,0.309526
66.6,-0.903885,1.07937,12.4706
66.7,0.64346,4.09049,21.6746
66.8,3.85338,8.2451,27.6148
66.9,8.26123,13.053,30.1305
67,13.3455,17.9998,29.2663
67.1,18.5606,22.5804,25.2765
67.2,23.3731,26.333,18.6119
67.3,27.2963,28.8685,9.88603
67.4,29.9225,29.9023,-0.126625
67.5,30.9551,29.2793,-10.5371
67.6,30.2355,27.0177,-20.233
67.7,27.7884,23.4414,-27.3337
67.8,23.9613,19.6833,-26.8996
67.9,19.9566,17.2674,-16.9096
68,17.3856,16.4884,-5.64135
68.1,16.5549,17.0585,3.16679
68.2,17.154,18.5585,8.83126
68.3,18.735,20.5705,11.5417
68.4,20.8529,22.737,11.8474
68.5,23.128,24.8087,10.568
68.6,25.2966,26.6679,8.62285
68.7,27.2349,28.3297,6.88409
68.8,28.9598,29.9024,5.92703
68.9,30.5869,31.5085,5.79525
69,32.2461,33.2053,6.03108
69.1,33.9982,34.9318,5.87044
69.2,35.7786,36.5068,4.5793
69.3,37.3956,37.6554,1.63385
69.4,38.5591,38.0513,-3.19322
69.5,38.9257,37.3653,-9.81168
69.6,38.1497,35.3096,-17.8588
69.7,35.9303,31.6744,-26.7608
69.8,32.0497,26.3809,-35.6449
69.9,26.4293,20.4468,-37.6177
70,20.1502,17.253,-18.2172
70.1,16.7894,16.6935,-0.603149
70.2,16.2243,18.3139,13.1394
70.3,17.9653,21.5666,22.6453
70.4,21.4256,25.8519,27.832
70.5,25.9661,30.5547,28.8529
70.6,30.9336,35.0839,26.0972
70.7,35.7021,38.9095,20.1676
70.8,39.7125,41.6017,11.8792
70.9,42.5138,42.8672,2.22274
71,43.7996,42.5846,-7.64032
71.1,43.4469,40.8599,-16.2668
71.2,41.5732,38.0931,-21.8822
71.3,38.6056,35.0087,-22.6169
71.4,35.3138,32.4265,-18.1554
71.5,32.5651,30.8108,-11.0306
