time, running_average(5), position_error, PI_output, smoothed_output, total_output
37.3,11.5584,-1.13721,-1.38215,-1.70939,3.09154
37.4,12.0989,-0.567765,-0.818381,-1.48664,2.30502
37.5,12.3565,0.106676,-0.142873,-1.1507,1.29357
37.6,12.2817,0.869128,0.628271,-0.705957,0.077686
37.7,11.8334,1.69119,1.46725,-0.162655,-1.30459
37.8,10.9844,2.53364,2.33503,0.461766,-2.79679
37.9,9.72694,3.34763,3.1825,1.14195,-4.32444
38,8.07812,4.07237,3.94796,1.84345,-5.79141
38.1,6.10245,4.56822,4.48949,2.50496,-6.99445
38.2,4.4196,2.69166,2.63985,2.53868,-5.17853
38.3,3.59908,-0.749073,-0.808375,1.70192,-0.893544
38.4,3.71199,-3.23188,-3.3235,0.445564,2.87793
38.5,4.76855,-4.52,-4.65682,-0.830033,5.48686
38.6,6.7106,-4.53388,-4.71604,-1.80154,6.51758
38.7,8.90498,-3.79488,-4.01499,-2.3549,6.36989
38.8,10.7493,-2.82051,-3.06882,-2.53338,5.6022
38.9,12.1208,-1.6806,-1.94572,-2.38646,4.33218
39,12.9387,-0.439372,-0.708885,-1.96707,2.67595
39.1,13.1544,0.831745,0.57055,-1.33266,0.762115
39.2,12.7542,2.05533,1.81469,-0.545826,-1.26886
39.3,11.7632,3.14828,2.93912,0.32541,-3.26453
39.4,10.2507,4.01171,3.84267,1.20472,-5.04739
39.5,8.35358,4.46102,4.33659,1.98769,-6.32428
39.6,6.4105,3.80329,3.71689,2.41999,-6.13688
39.7,5.02776,1.24261,1.16864,2.10715,-3.27579
39.8,4.48503,-1.4162,-1.50434,1.20428,0.300056
39.9,4.82281,-3.10508,-3.22427,0.0971428,3.12712
40,5.96171,-3.62536,-3.7808,-0.872342,4.65314
40.1,7.59566,-3.18129,-3.36854,-1.49639,4.86493
40.2,9.13475,-2.34585,-2.55656,-1.76143,4.31799
40.3,10.3055,-1.44952,-1.67472,-1.73976,3.41448
40.4,11.0664,-0.665917,-0.897782,-1.52926,2.42704
40.5,11.4717,-0.141907,-0.375191,-1.24074,1.61593
40.6,11.6434,0.00810528,-0.225098,-0.986833,1.21193
40.7,11.7453,-0.245153,-0.480808,-0.860326,1.34113
40.8,11.9417,-0.794994,-1.0386,-0.904894,1.94349
40.9,12.3486,-1.41842,-1.67621,-1.09772,2.77393
41,12.9999,-1.8703,-2.14679,-1.35999,3.50678
41.1,13.8353,-1.97673,-2.27299,-1.58824,3.86123
41.2,14.7148,-1.67324,-1.98624,-1.68774,3.67398
41.3,15.4571,-0.990919,-1.31382,-1.59426,2.90808
41.4,15.8849,-0.021493,-0.344608,-1.28185,1.62646
41.5,15.8612,1.10958,0.797563,-0.761994,-0.0355691
41.6,15.3108,2.25077,1.96126,-0.0811813,-1.88008
41.7,14.2394,3.20861,2.95118,0.67691,-3.62809
41.8,12.7634,3.69535,3.47488,1.3764,-4.85128
41.9,11.1614,3.26508,3.07725,1.80162,-4.87887
42,9.86596,1.5913,1.41939,1.70606,-3.12544
42.1,9.26851,-0.804316,-0.984267,1.03348,-0.0492095
42.2,9.56054,-2.93034,-3.13959,-0.0097909,3.14938
42.3,10.7233,-4.15873,-4.40957,-1.10974,5.5193
42.4,12.5141,-4.3359,-4.6301,-1.98983,6.61993
42.5,14.4882,-3.65721,-3.98798,-2.48937,6.47735
42.6,16.1961,-2.41621,-2.77115,-2.55981,5.33096
42.7,17.3316,-0.836451,-1.19975,-2.2198,3.41955
42.8,17.7144,0.918123,0.564004,-1.52385,0.959841
42.9,17.2532,2.70921,2.38218,-0.547339,-1.83484
43,15.9278,4.40932,4.12639,0.621093,-4.74748
43.1,13.7836,5.89233,5.66832,1.8829,-7.55122
43.2,10.944,6.97401,6.81974,3.11711,-9.93685
43.3,7.97985,6.00447,5.91024,3.81539,-9.72563
43.4,6.17308,0.662914,0.575318,3.00537,-3.58069
43.5,5.7759,-3.75672,-3.88188,1.28356,2.59832
43.6,6.83705,-6.36001,-6.54877,-0.674522,7.22329
43.7,9.29567,-6.96746,-7.2259,-2.31237,9.53827
43.8,12.6162,-5.96196,-6.28001,-3.30428,9.58429
43.9,15.5252,-4.52974,-4.89309,-3.70148,8.59458
44,17.754,-2.9227,-3.31528,-3.60493,6.92022
44.1,19.216,-1.29098,-1.69647,-3.12782,4.82429
44.2,19.9035,0.202799,-0.200665,-2.39603,2.59669
44.3,19.8913,1.3741,0.984373,-1.55093,0.566556
44.4,19.3453,2.02056,1.65104,-0.750437,-0.900601
44.5,18.5222,1.96056,1.61064,-0.160167,-1.45048
44.6,17.7406,1.14185,0.803356,0.0807138,-0.88407
