time,measured_position,estimated_position, error, L1, L2, estimated_velocity
33.8,23.6255,25.2724,-3.29376,0.5,0.1,2.37452
33.9,19.224,22.3669,-6.28584,0.5,0.1,1.74593
34,13.7168,18.1292,-8.82471,0.5,0.1,0.863461
34.1,7.53904,12.8773,-10.6765,0.5,0.1,-0.204188
34.2,1.25827,7.05757,-11.5986,0.5,0.1,-1.36405
34.3,-4.19312,1.36402,-11.1143,0.5,0.1,-2.47548
34.4,-6.36436,-2.62394,-7.48083,0.5,0.1,-3.22356
34.5,-4.02517,-3.48573,-1.07887,0.5,0.1,-3.33145
34.6,-1.0401,-2.42949,2.77878,0.5,0.1,-3.05357
34.7,0.987812,-0.873517,3.72266,0.5,0.1,-2.6813
34.8,1.75856,0.30846,2.90021,0.5,0.1,-2.39128
34.9,1.35274,0.711031,1.28341,0.5,0.1,-2.26294
35,0.136362,0.310551,-0.348378,0.5,0.1,-2.29778
35.1,-1.18256,-0.550898,-1.26333,0.5,0.1,-2.42411
35.2,-1.60383,-1.19857,-0.810523,0.5,0.1,-2.50516
35.3,-0.48639,-0.967734,0.962689,0.5,0.1,-2.4089
35.4,1.71191,0.251642,2.92054,0.5,0.1,-2.11684
35.5,4.0675,2.05373,4.02754,0.5,0.1,-1.71409
35.6,5.8332,3.85776,3.95088,0.5,0.1,-1.319
35.7,6.5159,5.12088,2.79004,0.5,0.1,-1.04
35.8,5.82216,5.41952,0.805282,0.5,0.1,-0.959467
35.9,3.62068,4.47213,-1.7029,0.5,0.1,-1.12976
36,-0.0174052,2.17087,-4.37656,0.5,0.1,-1.56741
36.1,-4.65721,-1.32154,-6.67134,0.5,0.1,-2.23455
36.2,-7.29566,-4.42032,-5.75067,0.5,0.1,-2.80961
36.3,-2.37573,-3.5385,2.32555,0.5,0.1,-2.57706
36.4,4.97764,0.590714,8.77386,0.5,0.1,-1.69967
36.5,12.6955,6.55811,12.2747,0.5,0.1,-0.472199
36.6,20.1247,13.3178,13.6138,0.5,0.1,0.889186
36.7,26.8194,20.113,13.4126,0.5,0.1,2.23045
